observation file: /home/edwin/github/edwinkost/hyperhydro_pcrglobwb/daily_discharge_analysis_scripts/rhine_daily_discharge_data/6435060.day
nPairs;avg_obs;avg_sim;KGE_2009;KGE_2012;NSeff;NSeff_log;rmse;mae;bias;R2;R2ad;correlation
365;1821.18356164384;1800.57327387562;0.929219764199245;0.931299021134534;0.867046563261098;0.644023681173004;462.377504123117;346.999140240395;-20.6102877682204;0.869749320611127;0.869390503312535;0.932603517370124
date;observation;simulation
2003-01-01;5416;4970.87548828125
2003-01-02;6127;5077.37109375
2003-01-03;6412;5757.4052734375
2003-01-04;7284;7759.181640625
2003-01-05;8722;8136.349609375
2003-01-06;9372;7570.7490234375
2003-01-07;9224;7036.9658203125
2003-01-08;8681;6335.13623046875
2003-01-09;7971;5461.18701171875
2003-01-10;7027;4841.8515625
2003-01-11;5941;4520.94775390625
2003-01-12;5066;4366.45947265625
2003-01-13;4388;4277.8173828125
2003-01-14;3910;4293.6494140625
2003-01-15;3607;4357.42822265625
2003-01-16;3411;4286.33642578125
2003-01-17;3304;4198.16552734375
2003-01-18;3221;4125.60400390625
2003-01-19;3180;4077.38989257812
2003-01-20;3102;4005.0810546875
2003-01-21;2995;3952.94848632812
2003-01-22;2893;3938.27197265625
2003-01-23;2910;3992.42407226562
2003-01-24;3098;4049.43994140625
2003-01-25;3315;3997.892578125
2003-01-26;3391;3942.52563476562
2003-01-27;3409;3983.09594726562
2003-01-28;3409;4079.7021484375
2003-01-29;3416;4044.87377929688
2003-01-30;3507;4004.46118164062
2003-01-31;3718;3948.36108398438
2003-02-01;3959;3838.41625976562
2003-02-02;3999;3791.44995117188
2003-02-03;3808;3757.21435546875
2003-02-04;3600;3730.60668945312
2003-02-05;3586;3693.17456054688
2003-02-06;3895;3692.4384765625
2003-02-07;4204;3748.06811523438
2003-02-08;4162;3673.6083984375
2003-02-09;3854;3497.30102539062
2003-02-10;3534;3352.21362304688
2003-02-11;3327;3246.85009765625
2003-02-12;3161;3176.85107421875
2003-02-13;2991;3131.36450195312
2003-02-14;2812;3090.9228515625
2003-02-15;2664;3051.47924804688
2003-02-16;2526;3012.7373046875
2003-02-17;2388;2973.57666015625
2003-02-18;2275;2933.24365234375
2003-02-19;2196;2891.64990234375
2003-02-20;2118;2848.82250976562
2003-02-21;2064;2804.75732421875
2003-02-22;2025;2759.85375976562
2003-02-23;1974;2714.80102539062
2003-02-24;1928;2671.46801757812
2003-02-25;1894;2632.86181640625
2003-02-26;1857;2598.55200195312
2003-02-27;1818;2564.44213867188
2003-02-28;1802;2535.79052734375
2003-03-01;1809;2521.82470703125
2003-03-02;1814;2556.02319335938
2003-03-03;1885;2690.74658203125
2003-03-04;2077;2829.5087890625
2003-03-05;2368;2753.62817382812
2003-03-06;2800;2649.31811523438
2003-03-07;3069;2669.24731445312
2003-03-08;3094;2769.57275390625
2003-03-09;3026;2755.6875
2003-03-10;2951;2661.79321289062
2003-03-11;2860;2582.33447265625
2003-03-12;2778;2630.59155273438
2003-03-13;2729;2726.25439453125
2003-03-14;2643;2599.998046875
2003-03-15;2552;2492.64331054688
2003-03-16;2489;2426.0751953125
2003-03-17;2426;2393.83081054688
2003-03-18;2326;2344.0791015625
2003-03-19;2215;2292.748046875
2003-03-20;2106;2273.97827148438
2003-03-21;2041;2277.74487304688
2003-03-22;1979;2275.34008789062
2003-03-23;1906;2251.53979492188
2003-03-24;1856;2214.95068359375
2003-03-25;1807;2176.48852539062
2003-03-26;1772;2138.35473632812
2003-03-27;1714;2101.36596679688
2003-03-28;1691;2076.38745117188
2003-03-29;1686;2076.85913085938
2003-03-30;1646;2077.31103515625
2003-03-31;1617;2046.32958984375
2003-04-01;1604;2024.19274902344
2003-04-02;1643;2050.81420898438
2003-04-03;1673;2161.25170898438
2003-04-04;1705;2235.16845703125
2003-04-05;1801;2279.78100585938
2003-04-06;1837;2326.79858398438
2003-04-07;1838;2303.17602539062
2003-04-08;1788;2207.78564453125
2003-04-09;1727;2114.25073242188
2003-04-10;1649;2054.5361328125
2003-04-11;1612;2006.84594726562
2003-04-12;1572;1948.03149414062
2003-04-13;1533;1884.11145019531
2003-04-14;1515;1827.57666015625
2003-04-15;1528;1786.76940917969
2003-04-16;1510;1765.66735839844
2003-04-17;1486;1750.62561035156
2003-04-18;1449;1720.99389648438
2003-04-19;1418;1680.31201171875
2003-04-20;1388;1640.60668945312
2003-04-21;1368;1605.4501953125
2003-04-22;1359;1574.11328125
2003-04-23;1363;1548.8466796875
2003-04-24;1364;1546.44909667969
2003-04-25;1374;1561.96203613281
2003-04-26;1394;1600.77038574219
2003-04-27;1439;1718.04223632812
2003-04-28;1435;1839.69616699219
2003-04-29;1418;1754.1533203125
2003-04-30;1407;1663.79797363281
2003-05-01;1438;1657.951171875
