observation file: /home/edwin/github/edwinkost/hyperhydro_pcrglobwb/daily_discharge_analysis_scripts/rhine_daily_discharge_data/6435060.day
nPairs;avg_obs;avg_sim;KGE_2009;KGE_2012;NSeff;NSeff_log;rmse;mae;bias;R2;R2ad;correlation
365;1821.18356164384;2069.27120896431;0.855142719119431;0.807859790305563;0.798557271267234;0.751295925800735;569.144718717267;382.010250729077;248.087647320473;0.844836241268603;0.844408792897443;0.919149738219298
date;observation;simulation
2003-01-01;5416;5962.45703125
2003-01-02;6127;6987.0888671875
2003-01-03;6412;8602.9755859375
2003-01-04;7284;8835.453125
2003-01-05;8722;8035.62060546875
2003-01-06;9372;7249.73486328125
2003-01-07;9224;6625.46142578125
2003-01-08;8681;6054.01611328125
2003-01-09;7971;5545.35400390625
2003-01-10;7027;5132.12109375
2003-01-11;5941;4821.11572265625
2003-01-12;5066;4604.5927734375
2003-01-13;4388;4550.15283203125
2003-01-14;3910;4635.68212890625
2003-01-15;3607;4589.42431640625
2003-01-16;3411;4458
2003-01-17;3304;4279.2255859375
2003-01-18;3221;4135.83349609375
2003-01-19;3180;4033.07446289062
2003-01-20;3102;3987.873046875
2003-01-21;2995;3992.8603515625
2003-01-22;2893;4054.28149414062
2003-01-23;2910;4162.8984375
2003-01-24;3098;4198.10986328125
2003-01-25;3315;4166.89599609375
2003-01-26;3391;4185.1220703125
2003-01-27;3409;4332.068359375
2003-01-28;3409;4441.95703125
2003-01-29;3416;4470.22998046875
2003-01-30;3507;4414.04931640625
2003-01-31;3718;4281.13330078125
2003-02-01;3959;4162.42822265625
2003-02-02;3999;4115.583984375
2003-02-03;3808;4113.43212890625
2003-02-04;3600;4089.4921875
2003-02-05;3586;4007.10327148438
2003-02-06;3895;3912.6396484375
2003-02-07;4204;3824.25561523438
2003-02-08;4162;3714.6962890625
2003-02-09;3854;3596.9755859375
2003-02-10;3534;3482.0126953125
2003-02-11;3327;3380.15258789062
2003-02-12;3161;3297.2421875
2003-02-13;2991;3230.78515625
2003-02-14;2812;3175.5693359375
2003-02-15;2664;3126.76147460938
2003-02-16;2526;3080.58471679688
2003-02-17;2388;3035.29443359375
2003-02-18;2275;2990.17065429688
2003-02-19;2196;2945.00146484375
2003-02-20;2118;2899.177734375
2003-02-21;2064;2852.31079101562
2003-02-22;2025;2805.10009765625
2003-02-23;1974;2764.43872070312
2003-02-24;1928;2731.59130859375
2003-02-25;1894;2702.63916015625
2003-02-26;1857;2678.07763671875
2003-02-27;1818;2665.6669921875
2003-02-28;1802;2649.07397460938
2003-03-01;1809;2675.744140625
2003-03-02;1814;2877.41528320312
2003-03-03;1885;3106.91552734375
2003-03-04;2077;3105.60302734375
2003-03-05;2368;3068.10888671875
2003-03-06;2800;3079.16967773438
2003-03-07;3069;3197.80029296875
2003-03-08;3094;3170.08715820312
2003-03-09;3026;3062.70678710938
2003-03-10;2951;2936.68969726562
2003-03-11;2860;2969.34448242188
2003-03-12;2778;3066.03173828125
2003-03-13;2729;2869.88623046875
2003-03-14;2643;2688.63623046875
2003-03-15;2552;2575.330078125
2003-03-16;2489;2499.85302734375
2003-03-17;2426;2439.53955078125
2003-03-18;2326;2386.76831054688
2003-03-19;2215;2340.0263671875
2003-03-20;2106;2297.33349609375
2003-03-21;2041;2255.24096679688
2003-03-22;1979;2209.7763671875
2003-03-23;1906;2158.12939453125
2003-03-24;1856;2101.12451171875
2003-03-25;1807;2042.888671875
2003-03-26;1772;1993.93444824219
2003-03-27;1714;1972.71142578125
2003-03-28;1691;1964.62023925781
2003-03-29;1686;1941.96960449219
2003-03-30;1646;1906.40478515625
2003-03-31;1617;1868.39440917969
2003-04-01;1604;1912.53234863281
2003-04-02;1643;2033.65539550781
2003-04-03;1673;2150.9306640625
2003-04-04;1705;2257.27099609375
2003-04-05;1801;2332.92602539062
2003-04-06;1837;2343.13989257812
2003-04-07;1838;2285.6259765625
2003-04-08;1788;2182.42724609375
2003-04-09;1727;2070.55493164062
2003-04-10;1649;1965.93688964844
2003-04-11;1612;1873.12023925781
2003-04-12;1572;1794.36853027344
2003-04-13;1533;1731.54443359375
2003-04-14;1515;1683.71569824219
2003-04-15;1528;1646.31726074219
2003-04-16;1510;1612.89721679688
2003-04-17;1486;1577.70300292969
2003-04-18;1449;1538.58605957031
2003-04-19;1418;1495.56091308594
2003-04-20;1388;1451.47375488281
2003-04-21;1368;1412.89465332031
2003-04-22;1359;1391.69494628906
2003-04-23;1363;1390.04162597656
2003-04-24;1364;1398.32666015625
2003-04-25;1374;1425.11572265625
2003-04-26;1394;1571.42834472656
2003-04-27;1439;1744.72058105469
2003-04-28;1435;1744.24389648438
2003-04-29;1418;1707.58801269531
2003-04-30;1407;1756.57019042969
2003-05-01;1438;1879.64172363281
2003-05-02;1474;1922.95373535156
2003-05-03;1494;1921.673828125
2003-05-04;1504;1849.7001953125
2003-05-05;1526;1792.83764648438
2003-05-06;1553;1717.19311523438
2003-05-07;1562;1626.33801269531
2003-05-08;1569;1580.82983398438
2003-05-09;1545;1606.81518554688
2003-05-10;1537;1703.83227539062
2003-05-11;1547;1816.15930175781
2003-05-12;1599;2000.34851074219
2003-05-13;1673;2224.26000976562
2003-05-14;1707;2438.365234375
2003-05-15;1693;2583.984375
2003-05-16;1721;2614.71215820312
2003-05-17;1740;2593.80493164062
2003-05-18;1746;2653.30517578125
2003-05-19;1769;2895.1005859375
2003-05-20;1795;3331.32006835938
2003-05-21;1865;3674.50512695312
2003-05-22;1976;3719.58740234375
2003-05-23;1986;3621.486328125
2003-05-24;1979;3481.60668945312
2003-05-25;2001;3313.40234375
2003-05-26;1999;3070.76489257812
2003-05-27;1993;2826.71801757812
2003-05-28;1934;2597.51342773438
2003-05-29;1826;2422.40307617188
2003-05-30;1753;2297.28271484375
2003-05-31;1732;2196.537109375
2003-06-01;1743;2150.1923828125
2003-06-02;1745;2223.0830078125
2003-06-03;1788;2315.18603515625
2003-06-04;1790;2337.68530273438
2003-06-05;1726;2287.69165039062
2003-06-06;1652;2225.91455078125
2003-06-07;1620;2160.80712890625
2003-06-08;1625;2294.88232421875
2003-06-09;1726;2522.33056640625
2003-06-10;1756;2520.36572265625
2003-06-11;1757;2602.64428710938
2003-06-12;1758;2591.55590820312
2003-06-13;1747;2478.59545898438
2003-06-14;1689;2358.76025390625
2003-06-15;1633;2271.83642578125
2003-06-16;1622;2208.54565429688
2003-06-17;1662;2172.43090820312
2003-06-18;1691;2181.61743164062
2003-06-19;1650;2134.49877929688
2003-06-20;1611;2047.52319335938
2003-06-21;1595;1948.56958007812
2003-06-22;1573;1868.68481445312
2003-06-23;1549;1802.44372558594
2003-06-24;1515;1730.73132324219
2003-06-25;1453;1654.31848144531
2003-06-26;1395;1560.80554199219
2003-06-27;1367;1447.65893554688
2003-06-28;1351;1340.64587402344
2003-06-29;1326;1242.27136230469
2003-06-30;1306;1201.44274902344
2003-07-01;1330;1277.79516601562
2003-07-02;1345;1340.99792480469
2003-07-03;1336;1428.90307617188
2003-07-04;1362;1500.72045898438
2003-07-05;1404;1580.12756347656
2003-07-06;1427;1699.60632324219
2003-07-07;1425;1800.49670410156
2003-07-08;1426;1822.00073242188
2003-07-09;1420;1757.19909667969
2003-07-10;1371;1645.34521484375
2003-07-11;1312;1512.97229003906
2003-07-12;1262;1372.76220703125
2003-07-13;1228;1234.66772460938
2003-07-14;1200;1106.42077636719
2003-07-15;1160;991.615478515625
2003-07-16;1129;966.759887695312
2003-07-17;1134;998.683898925781
2003-07-18;1153;962.38427734375
2003-07-19;1104;922.363403320312
2003-07-20;1086;887.072692871094
2003-07-21;1075;912.149658203125
2003-07-22;1104;1041.23278808594
2003-07-23;1158;1136.3974609375
2003-07-24;1182;1195.28979492188
2003-07-25;1175;1240.46606445312
2003-07-26;1173;1274.62194824219
2003-07-27;1159;1317.65698242188
2003-07-28;1210;1301.4892578125
2003-07-29;1242;1302.17004394531
2003-07-30;1260;1355.77136230469
2003-07-31;1273;1447.56640625
2003-08-01;1270;1475.45263671875
2003-08-02;1266;1474.365234375
2003-08-03;1231;1445.82397460938
2003-08-04;1202;1372.2421875
2003-08-05;1183;1278.9326171875
2003-08-06;1150;1179.39086914062
2003-08-07;1112;1105.78564453125
2003-08-08;1084;1040.44384765625
2003-08-09;1062;942.738037109375
2003-08-10;1028;908.60302734375
2003-08-11;1000;840.56103515625
2003-08-12;981;761.37744140625
2003-08-13;975;644.395263671875
2003-08-14;957;613.42919921875
2003-08-15;940;576.012878417969
2003-08-16;917;537.275756835938
2003-08-17;892;502.039764404297
2003-08-18;893;499.207550048828
2003-08-19;942;547.101928710938
2003-08-20;1001;545.480346679688
2003-08-21;1004;594.515563964844
2003-08-22;997;622.659973144531
2003-08-23;982;641.398498535156
2003-08-24;955;651.643249511719
2003-08-25;928;650.78271484375
2003-08-26;918;607.085205078125
2003-08-27;906;605.314453125
2003-08-28;901;641.005798339844
2003-08-29;909;748.5771484375
2003-08-30;953;816.240539550781
2003-08-31;953;853.797058105469
2003-09-01;962;896.966125488281
2003-09-02;989;924.060180664062
2003-09-03;992;913.829528808594
2003-09-04;994;892.574279785156
2003-09-05;1009;874.531311035156
2003-09-06;1017;862.747802734375
2003-09-07;998;898.931213378906
2003-09-08;966;1048.81176757812
2003-09-09;1008;1258.58081054688
2003-09-10;1068;1482.97106933594
2003-09-11;1124;1642.30261230469
2003-09-12;1088;1592.25439453125
2003-09-13;1025;1492.64538574219
2003-09-14;979;1381.98657226562
2003-09-15;954;1276.79809570312
2003-09-16;949;1192.61401367188
2003-09-17;956;1133.76452636719
2003-09-18;948;1095.14685058594
2003-09-19;911;1042.81811523438
2003-09-20;876;967.144104003906
2003-09-21;854;899.769653320312
2003-09-22;844;871.1015625
2003-09-23;846;884.094604492188
2003-09-24;852;876.519836425781
2003-09-25;839;848.288879394531
2003-09-26;820;812.099060058594
2003-09-27;797;773.572448730469
2003-09-28;788;771.226501464844
2003-09-29;796;780.184448242188
2003-09-30;799;742.379211425781
2003-10-01;793;750.082763671875
